,main0,main1,main2
участие,0.00077571993,0.009135158,0.0021268371
михаил,0.0009765118,0.0013679065,0.004633211
повод,0.0015313149,0.0018510935,0.001400471
владимир,0.0012444708,0.0027508168,0.0038506573
апрель,0.003084555,0.004118323,0.0014746444
покидать,0.00038058386,0.0022994985,0.0023557942
цена,0.0035203695,0.0017522274,0.0015458139
порядок,0.00065670564,0.002163238,0.00079069287
убивать,0.00039235904,0.0007076162,0.0016277315
говорить,0.0006168754,0.0010877572,0.0016626455
говориться,0.00030363083,0.006167473,0.0018365096
задерживать,0.0012425699,0.0025272043,0.002550985
травма,0.000119933335,0.0024364816,0.0014486231
свой,0.01266126,0.010326821,0.019842718
бюджет,0.0010587384,0.0008419773,0.0030189839
главный,0.001734727,0.00055286597,0.0027670576
мнение,0.0030286715,0.0022379316,0.0024972905
нападение,0.005476264,0.0023934839,0.0031025943
июнь,0.0018246148,0.0042833365,0.0046982383
защита,0.0008965803,0.0019012654,0.00033418587
план,0.0018105411,0.0020581277,5.5996232e-05
происходить,0.0031862357,0.0033357025,0.0084145665
сообщать,0.011164041,0.01700843,0.019598354
власть,0.005021225,3.3041273e-05,0.0052766893
проходить,0.0021710694,0.0054863873,0.0035090493
отказываться,0.0004647172,0.00063647353,0.0016323002
пообещать,0.0012989212,0.00187148,0.0005647608
сергей,0.0023853518,0.002078171,0.0020939335
полицейский,0.00014309272,0.004072009,0.0011334046
участник,0.0018024466,0.0010460431,0.001840037
московский,0.00067056756,0.0038721259,0.001900954
последний,0.0011583474,0.0031990313,0.004544314
расследование,0.0025981504,0.00023743293,0.0009265887
некоторый,0.0017471706,0.0013656832,0.0021205668
игорь,0.0003386993,0.004112264,0.00047114276
организация,0.0043805917,0.0032698833,0.0036831507
комплекс,0.001097994,0.0070989556,0.00054315885
контракт,0.0003015359,0.004590825,0.00061416766
служба,0.009795436,2.0437279e-05,0.0014132834
телеканал,0.0037541657,0.00018099888,0.0016286098
выходить,0.0035844573,0.0026369172,0.0017906622
запрещать,0.0028364195,0.00059374544,0.00047830684
санкция,0.0009978252,0.0030663598,0.0018091835
состояться,0.00048177998,0.004215145,0.0012733979
понедельник,0.004018386,0.0009829359,0.0022887934
автомобиль,0.002764792,0.0015331247,0.00028421506
январь,0.0054060444,0.0042298147,0.0036802706
клуб,1.4258873e-05,0.004999323,4.992014e-06
президент,0.00058279047,0.009779646,0.0037264526
минута,0.00038134368,0.0035641745,0.00087093294
писать,0.0035897137,0.0012314392,0.00092097715
страна,0.0045393794,0.0026881234,0.0055035516
вопрос,0.00018016872,0.0007072166,0.008668417
украинский,0.0020189967,0.003875139,0.0024200683
прекращать,0.0007288597,0.0018955978,0.00045741387
тасс,0.00046618874,0.0023439263,0.0012760133
